# #######################################################
# CONF LOG
# Conflict Statistics
# #######################################################
# 
# Parameters [Units]:
# Simulation time [s], ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],CPALAT [lat],CPALON [lon]
# 
# simt
66.50000000,D50,D9,48.19960723,16.40939334,9.14400000,48.19888431,16.40991415,9.14400000,48.19960711,16.40939343
78.50000000,D59,D61,48.18348602,16.35625330,18.28800000,48.18370052,16.35511223,25.77465000,48.18367663,16.35583969
82.00000000,D14,D58,48.20581371,16.35763107,27.43200000,48.20753362,16.35979644,10.80135000,48.20598049,16.35791337
85.50000000,D50,D9,48.19765555,16.41087581,64.00800000,48.19732414,16.41112528,16.76261000,48.19765539,16.41087593
90.00000000,D59,D61,48.18367124,16.35606167,16.51635000,48.18401471,16.35571491,24.00300000,48.18369789,16.35603478
96.50000000,D12,D69,48.22987868,16.42813651,36.57600000,48.23068396,16.42810142,36.57600000,48.22987868,16.42813651
102.00000000,D14,D46,48.20695752,16.35944933,26.63190000,48.20863011,16.36012695,9.14400000,48.20708801,16.35967290
103.00000000,D124,D112,48.18053877,16.41376662,9.14400000,48.18133631,16.41390373,9.14400000,48.18053877,16.41376662
121.00000000,D66,D97,48.20043070,16.40878566,66.32139000,48.20085584,16.40837832,9.14400000,48.20026698,16.40892214
123.50000000,D88,D129,48.15871955,16.39483831,9.14400000,48.15803201,16.39428877,9.14400000,48.15891415,16.39489541
125.50000000,D154,D145,48.20757243,16.35104545,9.14400000,48.20649004,16.35131773,19.20739000,48.20757243,16.35104545
126.00000000,D12,D82,48.22723957,16.42825153,36.57600000,48.22803943,16.42821668,36.57600000,48.22723957,16.42825153
127.50000000,D57,D9,48.19545212,16.40831782,27.43200000,48.19495744,16.40733789,27.43200000,48.19544899,16.40831154
132.50000000,D44,D165,48.19382955,16.34461496,9.14400000,48.19404502,16.34363481,25.77465000,48.19402808,16.34439410
138.00000000,D96,D179,48.18153206,16.36765907,18.28800000,48.18157760,16.36657921,18.28800000,48.18153205,16.36765915
138.50000000,D147,D112,48.18378066,16.41432396,9.14400000,48.18459547,16.41446406,9.14400000,48.18378066,16.41432396
141.00000000,D157,D31,48.14544123,16.38251965,64.00800000,48.14576894,16.38194243,46.44390000,48.14554417,16.38220970
146.50000000,D14,D58,48.20379786,16.36391734,78.82139000,48.20369102,16.36407238,18.49755000,48.20379728,16.36391819
148.50000000,D97,D65,48.19751332,16.41096752,9.35355000,48.19697135,16.41130961,18.28800000,48.19730134,16.41113323
149.00000000,D14,D58,48.20370208,16.36405635,73.15200000,48.20355276,16.36428868,25.90661000,48.20355586,16.36426821
150.00000000,D194,D197,48.18159950,16.35014837,18.28800000,48.18139364,16.35076749,14.86861000,48.18188606,16.35036374
150.00000000,D117,D115,48.19610865,16.35986619,64.00800000,48.19638425,16.35964065,18.28800000,48.19610867,16.35986618
153.00000000,D117,D115,48.19646626,16.35957351,58.88939000,48.19660764,16.35945781,18.28800000,48.19646626,16.35957351
153.50000000,D154,D145,48.20503299,16.35153300,9.14400000,48.20435111,16.35152030,18.28800000,48.20503296,16.35153300
156.50000000,D75,D23,48.24780979,16.33386246,36.57600000,48.24856166,16.33363429,36.57600000,48.24771331,16.33390746
158.50000000,D117,D115,48.19671480,16.35954226,45.89145000,48.19678567,16.35983246,23.15661000,48.19671491,16.35954273
160.00000000,D61,D59,48.18670531,16.35302140,24.00300000,48.18639273,16.35330693,16.51254000,48.18692968,16.35281730
160.00000000,D97,D65,48.19671505,16.41080322,27.43200000,48.19638147,16.41013440,29.08935000,48.19667116,16.41071627
162.00000000,D197,D223,48.18148738,16.34995557,18.28800000,48.18140002,16.35094814,10.11861000,48.18137022,16.35001462
162.50000000,D85,D223,48.18140924,16.35164396,27.43200000,48.18139758,16.35087903,12.36861000,48.18140883,16.35162421
164.50000000,D197,D223,48.18139000,16.34997117,18.28800000,48.18139154,16.35070804,12.36861000,48.18112113,16.34978264
165.50000000,D85,D223,48.18140050,16.35122331,27.43200000,48.18138976,16.35065747,12.57816000,48.18140032,16.35121450
