# #######################################################
# GEOFENCE LOG
# Statistics recorded upon aircraft deletion
# #######################################################
# 
# Parameters [Units]:
# Deletion time [s], Call sign[-],Geofence ID[-],Geofence name [-],Max intrusion [m],Intrusion LAT [deg],Intrusion LON [deg],Intrusion time [s]
# 
# simt
398.00000000,D145,1576,1553,0.32384992,48.19495931,16.34192237,323.00000000
499.50000000,D45,10,G11,14.70811147,48.16161102,16.40759365,481.00000000
499.50000000,D372,3714,3691,13.08820405,48.20284025,16.35749387,398.50000000
758.50000000,D300,1758,1735,0.96157686,48.20618960,16.35143981,574.00000000
779.50000000,D838,3724,3701,2.61279083,48.21227151,16.35856163,655.00000000
805.50000000,D313,3714,3691,10.34930687,48.20284046,16.35745536,743.00000000
844.00000000,D565,3472,3449,1.69123022,48.20166406,16.39142209,819.00000000
850.50000000,D865,3714,3691,9.97946974,48.20293081,16.35738253,681.50000000
870.00000000,D177,1758,1735,0.97078026,48.20620363,16.35143925,330.50000000
887.00000000,D242,3151,3128,3.61984930,48.19760556,16.40251385,883.50000000
887.50000000,D888,3472,3449,2.75472302,48.20165697,16.39143568,862.00000000
1030.50000000,D63,44,21,6.66612387,48.17728046,16.34302948,574.50000000
1090.00000000,D1304,1576,1553,0.32478478,48.19495932,16.34192237,1051.00000000
1148.00000000,D1134,3139,3116,5.46013699,48.19735183,16.39391947,854.00000000
1189.50000000,D83,8,G9,242.50059441,48.14422205,16.40756482,237.50000000
1200.00000000,D784,4458,4435,2.03898171,48.23121170,16.39743415,604.00000000
1238.00000000,D531,1758,1735,1.04079476,48.20620572,16.35143824,1054.00000000
1278.00000000,D1420,10,G11,14.27993140,48.16160646,16.40758292,1259.00000000
1281.00000000,D141,3714,3691,12.23657110,48.20286789,16.35746125,1022.50000000
1298.50000000,D404,1032,1009,7.65976840,48.16614221,16.36184882,614.50000000
1316.00000000,D715,1641,1618,0.11253265,48.19553405,16.35126455,988.00000000
1351.00000000,D1054,1641,1618,3.55381752,48.19558845,16.35134985,876.00000000
1370.50000000,D1013,4,G5,5.40215955,48.16369097,16.33825073,1340.00000000
1375.00000000,D1035,1697,1674,1.40620503,48.20190982,16.34060751,1333.50000000
1387.00000000,D1467,3724,3701,0.42456965,48.21229501,16.35859730,1266.50000000
1389.00000000,D2,1641,1618,2.36665174,48.19555713,16.35131173,478.00000000
1418.00000000,D748,44,21,5.39957568,48.17727765,16.34305166,979.50000000
1465.50000000,D746,3714,3691,13.11243930,48.20284132,16.35749340,685.50000000
1494.50000000,D1047,2185,2162,8.59747745,48.21827688,16.33266732,1274.00000000
1516.00000000,D28,3353,3330,5.19950291,48.19514808,16.36349461,774.00000000
1559.50000000,D569,1641,1618,2.24270640,48.19555793,16.35131058,548.50000000
