# #######################################################
# FLST LOG
# Flight Statistics
# #######################################################
# 
# Parameters [Units]:
# Deletion Time [s], Call sign [-], Spawn Time [s], Flight time [s], Distance 2D [m], Distance 3D [m], Distance ALT [m],Work Done [MJ], Latitude [deg], Longitude [deg], Altitude [ft], TAS [kts], Vertical Speed [fpm], Heading [deg], ASAS Active [bool], Pilot ALT [ft], Pilot SPD (TAS) [kts], Pilot HDG [deg], Pilot VS [fpm]
# 
# simt
128.00000000,D10,8.00000000,128.00000000,1374.43587387,1417.87824327,80.11861000,0.00000000,48.13801726,16.33173084,0.00000000,0.00000000,0.00000000,179.62594585,False,0.00000000,0.00000000,984.25196850,179.62594585
199.00000000,D54,35.00000000,199.00000000,2247.77195417,2279.01029846,69.36861000,0.00000000,48.17167777,16.31559962,0.00000000,0.00000000,0.00000000,344.56273277,False,0.00000000,0.00000000,984.25196850,344.56273277
206.50000000,D71,45.00000000,206.50000000,2337.11809414,2348.69383300,25.61861000,0.00000000,48.17634307,16.40431890,0.00000000,0.00000000,0.00000000,11.49110112,False,0.00000000,0.00000000,984.25196850,11.49110112
221.50000000,D86,57.00000000,221.50000000,2151.15662392,2190.97136337,201.36861000,0.00000000,48.23141900,16.31558158,0.00000000,0.00000000,0.00000000,38.97073616,False,0.00000000,0.00000000,984.25196850,38.97073616
245.50000000,D35,21.00000000,245.50000000,1807.33954460,1864.65273078,234.34251000,0.00000000,48.18569397,16.36420704,0.00000000,0.00000000,0.00000000,145.46113824,False,0.00000000,0.00000000,984.25196850,145.46113824
250.50000000,D151,104.00000000,250.50000000,1239.76170600,1314.88849803,290.59251000,0.00000000,48.21235433,16.35593507,0.00000000,0.00000000,0.00000000,9.30951637,False,0.00000000,0.00000000,984.25196850,9.30951637
252.50000000,D103,68.00000000,252.50000000,2513.56362769,2566.35861294,149.61861000,0.00000000,48.23270318,16.40710570,0.00000000,0.00000000,0.00000000,159.07101315,False,0.00000000,0.00000000,984.25196850,159.07101315
263.00000000,D5,6.00000000,263.00000000,2413.55417950,2457.79887037,153.36861000,0.00000000,48.21564407,16.31932061,0.00000000,0.00000000,0.00000000,12.19381466,False,0.00000000,0.00000000,984.25196850,12.19381466
273.00000000,D85,57.00000000,273.00000000,2226.21270623,2312.65484698,387.86861000,0.00000000,48.18568155,16.34592067,0.00000000,0.00000000,0.00000000,332.39072733,False,0.00000000,0.00000000,984.25196850,332.39072733
284.00000000,D158,110.00000000,284.00000000,2271.84027371,2337.82111782,175.36861000,0.00000000,48.25730931,16.36932542,0.00000000,0.00000000,0.00000000,197.38210494,False,0.00000000,0.00000000,984.25196850,197.38210494
301.00000000,D9,8.00000000,301.00000000,2872.29337657,2921.67938836,186.61861000,0.00000000,48.18308660,16.39885326,0.00000000,0.00000000,0.00000000,155.20537994,False,0.00000000,0.00000000,984.25196850,155.20537994
301.50000000,D95,63.00000000,301.50000000,2900.11681593,2972.00751751,373.42256000,0.00000000,48.20822055,16.35202031,0.00000000,0.00000000,0.00000000,82.39349589,False,0.00000000,0.00000000,984.25196850,82.39349589
304.50000000,D13,10.00000000,304.50000000,4299.69635982,4375.18435334,142.36861000,0.00000000,48.16299603,16.35043096,0.00000000,0.00000000,0.00000000,274.67085208,False,0.00000000,0.00000000,984.25196850,274.67085208
314.50000000,D165,117.00000000,314.50000000,2088.80088826,2232.06945333,498.17131000,0.00000000,48.20652798,16.34858060,0.00000000,0.00000000,0.00000000,283.92051047,False,0.00000000,0.00000000,984.25196850,283.92051047
318.00000000,D51,33.00000000,318.00000000,2547.30804888,2657.55987191,435.61861000,0.00000000,48.20781964,16.35740047,0.00000000,0.00000000,0.00000000,191.26008657,False,0.00000000,0.00000000,984.25196850,191.26008657
325.00000000,D111,76.00000000,325.00000000,2251.74165267,2331.10330126,351.36861000,0.00000000,48.21460776,16.39536753,0.00000000,0.00000000,0.00000000,72.45551099,False,0.00000000,0.00000000,984.25196850,72.45551099
326.00000000,D80,53.00000000,326.00000000,3273.69916362,3361.86026588,399.36861000,0.00000000,48.20537189,16.37575404,0.00000000,0.00000000,0.00000000,311.46581913,False,0.00000000,0.00000000,984.25196850,311.46581913
