# #######################################################
# LOS LOG
# LOS Statistics
# #######################################################
# 
# Parameters [Units]:
# LOS exit time [s], LOS start time [s],Time of min distance [s],ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],DIST [m]
# 
# simt
185.50000000,184.50000000,185.10000000,D95,D151,48.21215808,16.36115649,28.06446000,48.21216620,16.36077482,21.70739000,28.29508228
233.50000000,231.50000000,232.40000000,D248,D271,48.25639765,16.41429655,36.57600000,48.25634426,16.41390400,41.19461000,29.66200399
234.00000000,219.50000000,231.25000000,D205,D225,48.18593880,16.36304812,18.28800000,48.18593831,16.36304342,18.28800000,0.35279611
296.00000000,292.50000000,293.40000000,D214,D225,48.19282423,16.36700263,102.88851000,48.19282234,16.36700230,107.29139000,0.21165440
340.00000000,337.00000000,338.55000000,D214,D205,48.19758880,16.36750298,23.90661000,48.19733078,16.36741876,25.77465000,29.36204825
353.00000000,352.50000000,352.50000000,D207,D304,48.18218689,16.36240484,34.79139000,48.18231721,16.36275605,27.43200000,29.79885582
404.50000000,402.50000000,404.10000000,D84,D371,48.20843912,16.42905830,36.57600000,48.20831206,16.42878769,28.20739000,24.53050010
426.50000000,426.00000000,426.45000000,D156,D471,48.19203882,16.35945918,23.57806000,48.19219422,16.35980053,15.31620000,30.64082163
437.00000000,432.50000000,436.95000000,D203,D19,48.19732225,16.34696047,29.13122000,48.19734550,16.34705841,20.06339000,7.70639525
478.00000000,477.00000000,477.00000000,D155,D436,48.19165716,16.33112861,34.79139000,48.19170667,16.33145150,27.43200000,24.56020464
478.00000000,475.00000000,476.30000000,D160,D277,48.18075306,16.40230564,21.69033000,48.18063778,16.40247001,22.56339000,17.68782275
485.00000000,479.50000000,482.00000000,D615,D123,48.20273198,16.36793258,27.43200000,48.20261187,16.36793444,34.25051000,13.35624307
492.50000000,482.00000000,488.05000000,D367,D568,48.20612247,16.37668791,18.28800000,48.20612313,16.37668932,25.90661000,0.12778879
519.50000000,516.00000000,517.00000000,D147,D124,48.19992530,16.37346497,14.89272000,48.19979583,16.37355978,19.20739000,16.01965963
530.50000000,524.50000000,527.05000000,D3,D509,48.20790762,16.41843795,82.29600000,48.20790889,16.41843890,89.79139000,0.15755629
543.50000000,541.00000000,543.45000000,D159,D641,48.19529311,16.41404866,8.35139000,48.19536166,16.41390079,16.51261000,13.35019763
546.50000000,543.50000000,544.70000000,D410,D46,48.21440207,16.30151058,73.15200000,48.21440138,16.30156021,69.80061000,3.67802065
548.00000000,547.00000000,547.00000000,D385,D141,48.19815540,16.30253867,24.20739000,48.19820952,16.30287997,18.46326000,26.00249895
554.00000000,553.50000000,553.50000000,D202,D319,48.19903503,16.31371364,82.29600000,48.19903180,16.31329521,89.79139000,31.01432595
555.00000000,553.00000000,554.95000000,D451,D147,48.20008200,16.37237970,20.76949000,48.20006205,16.37246012,29.08935000,6.35924107
559.00000000,558.00000000,558.30000000,D343,D445,48.17438723,16.39948291,9.14400000,48.17433494,16.39987454,16.51261000,29.61643532
565.50000000,561.50000000,565.00000000,D40,D185,48.19890140,16.37671829,40.22979000,48.19894006,16.37696430,47.49539000,18.73344097
565.50000000,563.00000000,565.35000000,D300,D746,48.20634042,16.35173636,26.68143000,48.20617164,16.35152953,18.28800000,24.23072677
573.50000000,571.50000000,573.45000000,D394,D190,48.21137674,16.33957700,51.63939000,48.21139305,16.33957975,43.62521000,1.82535488
574.50000000,574.00000000,574.00000000,D509,D27,48.20353044,16.41586122,109.72800000,48.20381013,16.41597259,117.29139000,32.17673498
577.00000000,571.50000000,573.95000000,D512,D614,48.19669225,16.35946889,82.29600000,48.19656962,16.35948893,88.46820000,13.71645103
578.50000000,576.00000000,577.30000000,D423,D377,48.21425323,16.35795558,10.80135000,48.21441096,16.35827380,10.58418000,29.38616575
583.00000000,577.50000000,578.70000000,D2,D712,48.20344917,16.36418307,25.77465000,48.20353238,16.36431664,18.28800000,13.55030353
615.00000000,614.00000000,614.95000000,D554,D549,48.18043433,16.40265317,73.74839000,48.18020533,16.40269745,82.29600000,25.67391036
615.00000000,612.50000000,612.50000000,D509,D27,48.20012069,16.41488072,92.16842000,48.20024306,16.41495616,97.29139000,14.71059591
620.00000000,619.50000000,619.50000000,D452,D729,48.21615898,16.36538969,27.25674000,48.21624854,16.36558067,34.79139000,17.30290164
622.50000000,620.50000000,620.50000000,D452,D729,48.21613235,16.36533291,27.04719000,48.21623523,16.36555228,32.29139000,19.87512161
632.50000000,632.00000000,632.00000000,D634,D300,48.20430668,16.34499796,135.50265000,48.20409631,16.34498368,128.01219000,23.41570583
633.50000000,633.00000000,633.00000000,D634,D300,48.20430724,16.34490873,134.56920000,48.20402519,16.34498551,127.80264000,31.87436925
636.50000000,634.50000000,634.50000000,D818,D280,48.19484100,16.35207358,24.20739000,48.19473929,16.35236135,18.29181000,24.14273023
640.00000000,635.00000000,637.10000000,D738,D108,48.19819950,16.37498601,9.14400000,48.19819884,16.37498600,9.31545000,0.07290257
646.00000000,643.50000000,644.50000000,D890,D878,48.19555215,16.27455703,17.36861000,48.19534380,16.27432067,17.73722000,29.04525345
651.00000000,647.00000000,648.90000000,D410,D270,48.20535995,16.30227054,109.72800000,48.20535803,16.30202617,109.72800000,18.11052419
658.00000000,655.50000000,655.50000000,D371,D27,48.19731059,16.41188859,42.50856000,48.19722318,16.41174032,37.30442000,14.67037117
660.00000000,652.50000000,655.45000000,D550,D519,48.21090943,16.42144671,102.29139000,48.21091014,16.42145020,104.78322000,0.27011803
664.00000000,663.00000000,663.95000000,D604,D83,48.14896791,16.35456001,55.58861000,48.14915365,16.35426979,45.72000000,29.83507821
673.50000000,664.00000000,673.45000000,D554,D549,48.18473336,16.40462546,92.16461000,48.18475949,16.40457322,82.29600000,4.84157805
676.00000000,673.00000000,673.00000000,D434,D787,48.20173759,16.37231650,104.66842000,48.20176844,16.37217810,109.79139000,10.81611235
680.50000000,679.50000000,680.45000000,D371,D509,48.19635449,16.41000151,54.06390000,48.19644992,16.40983587,61.80307000,16.22709202
683.00000000,681.00000000,682.95000000,D371,D509,48.19645056,16.40982252,50.93970000,48.19649466,16.40978101,59.37546000,5.78927169
685.00000000,683.00000000,683.00000000,D515,D814,48.19476020,16.35218339,24.20739000,48.19473359,16.35251243,18.28800000,24.56792920
695.00000000,694.50000000,694.50000000,D336,D29,48.21477948,16.38415679,45.72000000,48.21457533,16.38421472,53.20665000,23.10270391
697.00000000,695.50000000,695.50000000,D336,D29,48.21482164,16.38412817,45.54474000,48.21459107,16.38424054,52.27320000,26.95557209
705.50000000,703.50000000,704.10000000,D218,D410,48.20069016,16.30194402,73.15200000,48.20069885,16.30226618,74.85939000,23.89572817
707.00000000,705.00000000,706.10000000,D340,D467,48.20949957,16.42753937,109.72800000,48.20936610,16.42728645,115.59661000,23.90660934
716.50000000,716.00000000,716.15000000,D575,D273,48.20180887,16.37492015,65.48164000,48.20171997,16.37461504,72.98055000,24.67909294
723.00000000,721.00000000,721.00000000,D914,D460,48.22456376,16.34973261,16.51642000,48.22455778,16.34939016,22.56339000,25.37680559
732.50000000,731.50000000,731.50000000,D376,D882,48.18146776,16.35839440,14.01642000,48.18119962,16.35849453,19.20739000,30.72628138
735.00000000,732.00000000,734.00000000,D724,D770,48.23263606,16.35566076,23.40661000,48.23279379,16.35554167,18.28800000,19.63225799
773.00000000,766.00000000,768.70000000,D459,D690,48.19028232,16.31502419,34.79139000,48.19028241,16.31502536,27.43200000,0.08745168
774.00000000,772.00000000,773.40000000,D339,D582,48.21888540,16.41406147,16.74114000,48.21884927,16.41386219,23.95739000,15.30118486
777.50000000,776.50000000,776.50000000,D581,D767,48.19066216,16.32424988,107.29139000,48.19074636,16.32458283,102.16842000,26.39703266
778.50000000,763.50000000,777.25000000,D190,D850,48.19916993,16.34747119,18.28800000,48.19917163,16.34747152,22.57806000,0.19033625
786.00000000,774.00000000,775.15000000,D702,D102,48.18140419,16.35837602,15.15561000,48.18140275,16.35838768,19.20739000,0.87928230
