# #######################################################
# CONF LOG
# Conflict Statistics
# #######################################################
# 
# Parameters [Units]:
# Simulation time [s], ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],CPALAT [lat],CPALON [lon]
# 
# simt
35.50000000,D35,D13,48.23633985,16.36155572,27.43200000,48.23635694,16.36196355,53.09235000,48.23633986,16.36155573
38.50000000,D58,D40,48.25247338,16.30954719,18.28800000,48.25263319,16.31047972,18.28800000,48.25247339,16.30954722
40.00000000,D25,D13,48.23629507,16.36020110,27.43200000,48.23637232,16.36233138,45.72000000,48.23629585,16.36022667
46.00000000,D34,D10,48.25877245,16.41362770,36.57600000,48.25799138,16.41392137,36.57600000,48.25870214,16.41364750
73.00000000,D136,D93,48.22139276,16.37453723,3.12420000,48.22078861,16.37521653,18.28800000,48.22115961,16.37488046
75.50000000,D88,D115,48.23497979,16.42832664,36.57600000,48.23566832,16.42788414,36.57600000,48.23471932,16.42833400
79.00000000,D102,D136,48.22051391,16.37478972,9.86861000,48.22111820,16.37493913,27.43200000,48.22052945,16.37481387
83.50000000,D66,D113,48.25255335,16.31154852,18.28800000,48.25242024,16.31046481,18.28800000,48.25255341,16.31154896
86.50000000,D97,D42,48.21423643,16.34735236,27.43200000,48.21312785,16.34406165,27.43200000,48.21414023,16.34717309
91.00000000,D93,D102,48.22031274,16.37611220,18.28800000,48.22073020,16.37550353,18.28800000,48.22028727,16.37615207
93.00000000,D26,D15,48.14765866,16.34454938,27.43200000,48.14734959,16.34601442,27.43200000,48.14765621,16.34456104
105.00000000,D97,D42,48.21262362,16.34549819,45.72000000,48.21251999,16.34540058,9.14400000,48.21252203,16.34539918
108.50000000,D129,D157,48.25052130,16.31141008,36.57600000,48.25120946,16.31084117,36.57600000,48.25038396,16.31160938
112.00000000,D82,D21,48.19698006,16.41132552,73.15200000,48.19738363,16.41201213,54.86400000,48.19688783,16.41121296
